reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
6/6/2026,wk inc covid hosp,2,6/20/2026,45,quantile,0.975,43.50569649
6/6/2026,wk inc covid hosp,2,6/20/2026,45,quantile,0.99,50.43118654
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.01,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.025,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.05,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.1,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.15,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.2,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.25,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.3,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.35,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.4,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.45,0
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.5,9.115794581
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.55,22.38412264
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.6,35.86620401
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.65,49.80100515
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.7,64.48618661
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.75,80.33380635
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.8,97.98088245
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.85,118.5507049
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.9,144.4322385
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.95,182.7925702
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.975,216.064437
6/6/2026,wk inc covid hosp,3,6/27/2026,45,quantile,0.99,254.7501726
